Character,Dialogue,Season,Episode
EMILY,"Are you happy, Richard? Now there's a report, and a report means we'll be in the police blotter. Petal Huffington reads the police blotter religiously. It's like heroin to her. You've turned us into the scandal of the neighborhood.",5,1
RICHARD,"Do you know what, Emily? If nothing else, this display tonight demonstrates clearly that you are no longer the woman I married.",5,1
EMILY,"The woman you married was your partner. You listened to her. You consulted with her. You respected her. So, you are right, Richard. I am definitely not the woman you married.",5,1
LORELAI,"Oh, no.",5,1
LUKE,It's okay.,5,1
LORELAI,What happened?,5,1
LUKE,He landed butt first in Taylor's rose bushes.,5,1
LORELAI,"Oh, poor thing!",5,1
LUKE,"Didn't slow him down, though. I managed to tackle him as he headed toward the miniaturegoat pen, dragged him back here, threw one of your blankets over him, and, well, there he is -- he's gonna be fine.",5,1
LORELAI,"Well, that's good.",5,1
LUKE,"Yeah. So, you were gone for a while.",5,1
LORELAI,"Yeah, I just had some things to take care of at home. Are you sure he can breathe?",5,1
LUKE,"Oh, yeah, I propped his head up. ? So, uh...you okay?",5,1
LORELAI,"Yes, I'm fine.",5,1
LUKE,"Okay, just -- nothing you want to talk about with -- with me or - ?",5,1
KIRK,Oh!,5,1
LORELAI,Oh my God. We need to take him upstairs.,5,1
KIRK,LuLu can't see me like this.,5,1
LORELAI,"But, Kirk --",5,1
KIRK,LuLu can't see me like this!,5,1
LORELAI,"Okay, she won't. I promise. Can I take a look?",5,1
KIRK,Okay.,5,1
LORELAI,I don't want to take a look.,5,1
LUKE,"Well, I'm not looking.",5,1
SOOKIE,Hey! It's a party. What's everybody doing up?,5,1
LORELAI,"Aw, hey, good timing, Squiggy.",5,1
SOOKIE,"I was just going to check on my loaves and make sure they're rising properly. The air's a little more humid than I thought it was going to be, and if the loaves aren't rising properly, then -- what are you doing?",5,1
LORELAI,We need you to look at Kirk's butt.,5,1
SOOKIE,Why?,5,1
LORELAI,"Well, because he ran into some rose bushes, and he's got some thorns stuck in it, and I thought of you.",5,1
SOOKIE,Me? Why me?,5,1
LORELAI,"Well, because... you're a chef.",5,1
SOOKIE,What?,5,1
LUKE,And you have a kid.,5,1
LORELAI,"Yes, that's better. You have a kid.",5,1
LUKE,"Neither of us has kids. Well, she does, but it's big and -- and -- and can look at her own butt.",5,1
LORELAI,"I got this, thanks.",5,1
SOOKIE,"Okay, well... oh, oh! I'm gonna need Bactine, antiseptic, and lots of hot towels.",5,1
LORELAI,I'll go. I'll be right back.,5,1
KIRK,Ohh.,5,1
SOOKIE,"Hey, Kirk? How are you feeling?",5,1
KIRK,Is Luke here?,5,1
LUKE,"I'm right here, Kirk.",5,1
KIRK,Sorry I bit you.,5,1
LUKE,"It's okay, Kirk.",5,1
KIRK,"They were after me, so I ran away.",5,1
SOOKIE,"Who was after you, honey?",5,1
LUKE,Assassins. He thinks assassins are after him.,5,1
KIRK,"They were under my bed in my room, so I ran, and they followed me down the hall, down the stairs, past Luke and Lorelai kissing, through the yard, over that fence.",5,1
SOOKIE,"Well, the assassins are gone now, Kirk.",5,1
KIRK,I imagined them?,5,1
SOOKIE,I think so.,5,1
KIRK,What about Luke kissing Lorelai?,5,1
SOOKIE,"I think you imagined that, too.",5,1
KIRK,They looked so real.,5,1
SOOKIE,"Okay, Kirk, you just settle down and relax, and I'll be right back. Ohh. Oh, my God!",5,1
LUKE,Sookie!,5,1
SOOKIE,You kissed?,5,1
LUKE,Yes.,5,1
SOOKIE,I can't believe she didn't tell me. Why didn't she tell me?,5,1
LUKE,It just happened.,5,1
SOOKIE,"Ooh, Luke, that's wonderful!",5,1
LUKE,Thanks.,5,1
SOOKIE,I can't wait to tell Lorelai it's wonderful!,5,1
LUKE,"Um, could you maybe not say anything for a little while?",5,1
SOOKIE,Why?,5,1
LUKE,"Well, I'm just not so sure she wants this out yet.",5,1
SOOKIE,What makes you think that?,5,1
LUKE,"Do me a f avor and keep it to yourself. Let her tell you if she wants to, okay?",5,1
SOOKIE,"Sure. Okay. Call me Bel inda, 'cause my lips are sealed.",5,1
LUKE,Thank you.,5,1
SOOKIE,"Hey, Luke?",5,1
LUKE,Yeah?,5,1
SOOKIE,This is good.,5,1
LUKE,I hope so.,5,1
LINDSAY,Hey.,5,1
DEAN,Hey.,5,1
LINDSAY,My mom brought by brownies. You worked late again.,5,1
DEAN,Yeah.,5,1
LINDSAY,Do you have to work tomorrow?,5,1
DEAN,I work at Doose's tomorrow.,5,1
LINDSAY,"Oh. Well, will you be home for dinner? 'Cause I was thinking of cooking or something.",5,1
DEAN,I guess. I'll try. I don't know.,5,1
LINDSAY,You want a brownie?,5,1
DEAN,No.,5,1
LINDSAY,"My mom put gummy bears in them like I'm still three or something. Oh yeah, and I found your phone. It had fallen in the couch cushions.",5,1
DEAN,Thanks.,5,1
LINDSAY,"It rang a little earlier, about 20 minutes ago. I answered, but they hung up.",5,1
DEAN,You answered my phone?,5,1
LINDSAY,"Well, it kind of woke me up.",5,1
DEAN,Why are you answering people's phones?,5,1
LINDSAY,Dean.,5,1
DEAN,"I mean, you know it's my phone, Lindsay. This isn't your phone. I mean, who was it?",5,1
LINDSAY,I don't know. They hung up.,5,1
DEAN,So you didn't take a message?,5,1
LINDSAY,I told you -- they hung up.,5,1
DEAN,"So, great, uh, you're just answering my phone and not taking messages? That's great, Lindsay.",5,1
LINDSAY,"Dean, wh--",5,1
DEAN,"Taylor calls on this phone, and Tom. I mean, this phone is for business, okay? That's why I have it!",5,1
LINDSAY,Fine.,5,1
DEAN,"What if Tom called, and he had an extra shift for me tomorrow, huh? I mean he calls to tell me, and you answer, and he thinks maybe he doesn't have the right number, and he hangs up, and then I just lose out, which means we lose out. God, Lindsay, you know, you don't -- you don't get it, do you? I mean, you have absolutely no respect for me at all. That's just obvious.",5,1
LINDSAY,"I don't want to fight. We always fight. I won't answer your phone anymore. I was asleep. I didn't think. I'm sorry, okay?",5,1
DEAN,Yeah...okay.,5,1
LINDSAY,You coming to bed?,5,1
DEAN,In a minute.,5,1
LINDSAY,Okay. You mad at me?,5,1
DEAN,No. Just tired. Long day. I'll be right there. [LuLu and Kirk are admiring the food table and taking samples on,5,1
THEIRPLATELULU,Everything looks so good.,5,1
SOOKIE,I know it does.,5,1
LULU,I want half of that cranberry square.,5,1
KIRK,Okay.,5,1
LULU,"Kirk, sit.",5,1
KIRK,I'm good.,5,1
LULU,You can't eat standing up like that. My mother says it gives you cancer.,5,1
KIRK,"Really? Mine, too.",5,1
JACKSON,"Hey, look who came to visit.",5,1
BABETTE,"Oh, my God, the baby's here!",5,1
SOOKIE,"Hey, Shortstuff. How's it hangin'?",5,1
JACKSON,"He just came to say hi to everybody and to see the place on which his entire college education depends. What do you think? Is it gonna be Ivy League, or is it gonna be ""Murray's House of Learnin'""?",5,1
SOOKIE,"If we're going by the donut demand, I think he's in pretty good shape.",5,1
JACKSON,"Okay, Ivy League it is. I just hope you're not stupid. Yeah?",5,1
SOOKIE,"Well, you have fun. Mommy's gotta get back to work. Be nice, and don't throw up on the buffet.",5,1
PATTY,"Jackson, you get over here right now with that baby.",5,1
EMPLOYEE,Can you sign this?,5,1
TAYLOR,"Michel, hold it right there. Michel. Michel, I have a complaint. Michel? Michel?",5,1
MICHEL,Can I help you?,5,1
TAYLOR,"I was talking to you, and you just walked away from me.",5,1
MICHEL,"Oh, I'm sorry, I thought you were calling someone else.",5,1
TAYLOR,Someone else named Michel?,5,1
MICHEL,If only I could read minds. What can I do for you?,5,1
TAYLOR,"One of my shoes is missing, and the other has been chewed.",5,1
MICHEL,Is this a riddle? I'm very busy.,5,1
TAYLOR,"No, this is not a riddle. This is fact. Look at this shoe. This shoe was practically brand-new, worn twice, and only on smooth-surface floors. I leave it in your hallway, and in the morning, I find this.",5,1
KIRK,"Oh, my God, what have I done?",5,1
LORELAI,"Excuse me. I'm sorry. Taylor, why did you leave your shoe in the hallway?",5,1
TAYLOR,Your complimentary shoeshine.,5,1
LORELAI,Our -,5,1
MICHEL,I don't know what he's talking about.,5,1
LUKE,"Hey, Lorelai --",5,1
TAYLOR,"Oh, no problem, Luke. Butt right in. I couldn't possibly be talking about anything important.",5,1
LUKE,Good.,5,1
LORELAI,Uh.,5,1
LUKE,I just -- I have to get back to the diner.,5,1
LORELAI,"Okay, well, um - I…",5,1
TAYLOR,I'm still standing here.,5,1
LORELAI,I have to -,5,1
LUKE,"Uh, sure.",5,1
LORELAI,"Okay. But, thank you so much for coming.",5,1
LUKE,"Okay, I'll...guess I'll see you later.",5,1
LORELAI,Yeah.,5,1
TAYLOR,You think I'm mak ing all this up.,5,1
LORELAI,"No, Taylor, I don't think you're making it up.",5,1
MICHEL,You're making a scene is what you're making.,5,1
TAYLOR,"All right, fine. I'm going to find wherever I read that you said you have shoeshine service. I'm going to show you, and then he can take that look off his face.",5,1
LORELAI,"Taylor, seriously, I completely believe you.",5,1
MICHEL,That man is why mail-order brides were invented.,5,1
LORELAI,Mm.,5,1
LORELAI,"Oh, my, my. Well, what a surprise.",5,1
RORY,People will expect me to be here for breakfast.,5,1
LORELAI,"Yes, they will.",5,1
RORY,"Okay, so I'm here for breakfast.",5,1
LORELAI,Enjoy!,5,1
BABETTE,"Rory, we were wondering what happened to you.",5,1
RORY,"I just ran home ear ly this morning to get something. Hey, Davey. Came for breakfast?",5,1
PATTY,"Yes, he did. Didn't you, Davey?",5,1
JACKSON,"Yeah, he did. Oops, he's got that look on his face. You might want to give him back to me.",5,1
PATTY,"Oh, please, if I went running every time some guy tried to crap all over me, I never would have gotten married.",5,1
LORELAI,"Hey, Sookie, what did you want to talk - Oh my!",5,1
SOOKIE,I'm so happy!,5,1
LORELAI,I'm so glad you're so happy! Is this is a normal happy or was there cooking sherry involved?,5,1
SOOKIE,"I promised I wouldn't say anything, but I can't help it! It is so wonderful. Do you know how wonderful it is?",5,1
LORELAI,"No, no, I don't, but I would love to weigh in.",5,1
SOOKIE,You're with Luke!,5,1
LORELAI,"Ah, how did you know?",5,1
SOOKIE,Luke told me.,5,1
LORELAI,Oh?,5,1
SOOKIE,"No, I'm sorry, Luke didn't tell me. Kirk told me.",5,1
LORELAI,Kirk told you?,5,1
SOOKIE,"He saw you. He saw you kiss Luke. Oh, my God! You were kissing Luke!",5,1
LORELAI,"Well, Sookie, I --",5,1
SOOKIE,"I am so glad! You two are perfect for each other. I have always thought that someday, if you just sort of turned around and opened your eyes that you'd see it, and now that you have, I'm just so damn happy.",5,1
LORELAI,"Well, I'm --",5,1
SOOKIE,"You're not gonna die alone. I mean, somebody will be there. Somebody will know. Somebody will find the body and call the police and --",5,1
LORELAI,"Yes, that is a relief. I can't believe Kirk saw us. I thought he was asleep.",5,1
SOOKIE,"Don't worry. I convinced him he was dreaming it all, so I don't think he'll say anything. I know you're concerned about that. Why are you concerned about that?",5,1
LORELAI,Who said I was concerned about that?,5,1
SOOKIE,Luke -- he asked me not to say anything. He said he wasn't sure if you wanted it out. Why wasn't he sure if you wanted it out?,5,1
LORELAI,I don't know.,5,1
SOOKIE,How was it?,5,1
LORELAI,How was - ?,5,1
SOOKIE,"You know. Was it on top of a table? 'Cause I always thought it would be on top of a table -- oh, like in ""Bull Durham""!",5,1
LORELAI,There was no sex.,5,1
SOOKIE,No sex? Why no sex? Can't Luke?,5,1
LORELAI,"I'm sure he can. There was no time. Everything happened so fast. We were here with the town -- and my parents flipping out and Jason showing up. Oh, no! Jason! What happened to Jason?",5,1
SOOKIE,"Oh, his condo was on fire.",5,1
LORELAI,It was?,5,1
SOOKIE,"Well, that's what Michel had me say when we called his cell phone. Hey, you don't seem happy.",5,1
LORELAI,About what?,5,1
SOOKIE,About Luke!,5,1
LORELAI,"Of course I'm happy about Luke. It's just new. I'm still processing it, that's all.",5,1
SOOKIE,"But he knows you're happy, right? I mean, he knows you're processing, but once you process, there's gonna be sex, right?",5,1
LORELAI,He knows. I think he knows. He should know. I hope he knows.,5,1
SOOKIE,"Well, make sure he knows, okay? Because you two together -",5,1
LORELAI,Equals getting to the morgue before I smell. I got it.,5,1
SOOKIE,Okay.,5,1
LORELAI,Hey. Finish your breakfast already?,5,1
RORY,"Yeah, I was just leaving you a note.",5,1
LORELAI,"Oh, you kind of wolfed it down, there.",5,1
RORY,I'm a light eater.,5,1
LORELAI,"So, um, you leaving?",5,1
RORY,Yep.,5,1
LORELAI,"Rory, don't you want to talk?",5,1
RORY,We already did.,5,1
LORELAI,"Oh yeah, but you didn't hear what I wanted to talk about, which was how Jackson is probably gonna have to dislocate several of Davey's limbs trying to pry him away from Patty and Babette.",5,1
RORY,I have to go.,5,1
LORELAI,"Rory, can't we just sit down for a second and talk about this?",5,1
RORY,I already heard everything you had to say last night.,5,1
LORELAI,You know what? Fine. I give. It's your life. Do what you want.,5,1
RORY,Thank you.,5,1
LORELAI,You're 19. You know what you're doing.,5,1
RORY,I do know what I'm doing.,5,1
LORELAI,So you don't want to talk. We won't talk.,5,1
RORY,Good.,5,1
LORELAI,"I wasn't thinking we had to talk like mom and kid. I thought we could talk as friends, buthey, forget it.",5,1
RORY,I will.,5,1
LORELAI,Not that I take back what I said.,5,1
RORY,That's your perogative.,5,1
LORELAI,"I mean, he's married, and as your friend, I have every right to point out the obvious.",5,1
RORY,Which you did twice now.,5,1
LORELAI,"Okay, and I stand by it, though I felt maybe I could help you figure out how to handle this as your friend who you usually turn to to help you figure out how to handle things, but if you don't want to talk, then fine.",5,1
RORY,Great.,5,1
LORELAI,We won't talk.,5,1
RORY,Love the thought.,5,1
LORELAI,Don't worry about me nagging you to talk anymore. I'm out.,5,1
RORY,Terrific.,5,1
LORELAI,"In fact, I'm really busy, so if you did change your mind --",5,1
RORY,Which I won't.,5,1
LORELAI,"Okay. But if you did, I'm sorry. I can't help. Taylor lost a shoe, so get in line.",5,1
RORY,Any end to this speech in sight?,5,1
LORELAI,Bye.,5,1
TAYLOR,Aha! I told you I'd seen it somewhere. Look at this.,5,1
LORELAI,"Ah, right. Uh, Michel, hi. Could you come over here for a minute? Very sorry about this, Taylor.",5,1
MICHEL,Yes?,5,1
LORELAI,"Hey. Here I have a list of services, all printed up nice and neat, including seaweed wraps, facial peels, watsu massage, and complimentary shoeshines, all of which we do not offer.",5,1
MICHEL,"Well, we should.",5,1
LORELAI,Michel.,5,1
MICHEL,"I mentioned them several times before, but you don't listen to me. Sookie wants to makeeach guest a meringue hat, and you say, ""Oh, Sookie, what a brilliant idea."" But I want to pamper our guests with services that we don't have, and you tell me to answer the phone.",5,1
LORELAI,"I'm very sorry about this, Taylor. We will replace your shoes, I promise you.",5,1
TAYLOR,"Fine. I'm a 6 1/2, narrow.",5,1
LORELAI,Okay. I can't believe you did this.,5,1
MICHEL,"Oh, you can too.",5,1
LORELAI,"Get on the phone and find me shoes and have them here by tonight, and get your dogs off the premises immed iately.",5,1
MICHEL,My dogs aren't --,5,1
LORELAI,It's been a rough weekend. Don't screw with me.,5,1
MICHEL,"If Kirk can sleep inside, why can't my Chows?",5,1
LORELAI,Get them and take them home.,5,1
MICHEL,"Okay, okay, I just have to locate Pau-Pau.",5,1
LORELAI,What?,5,1
MICHEL,He went out for a walk. He's around. He was just testing his boundaries.,5,1
LORELAI,"Apparently, so are you.",5,1
MICHEL,I'm going. Pau-Pau?,5,1
LUKE,Luke's.,5,1
LORELAI,Hey.,5,1
LUKE,Hello?,5,1
LORELAI,It's me.,5,1
LUKE,"Oh, hi.",5,1
LORELAI,Can we talk?,5,1
LUKE,"Well, we're kind of busy.",5,1
CAESAR,Burger and patty melt.,5,1
LORELAI,I just wanted to talk.,5,1
LUKE,Talk about what?,5,1
LORELAI,What?,5,1
LUKE,Talk about what?,5,1
LORELAI,Could you find a quieter place?,5,1
LUKE,Like where?,5,1
LORELAI,Just go outside.,5,1
LUKE,Phone doesn't reach outside.,5,1
CAESAR,Something that looks like tuna.,5,1
LORELAI,Use your cell phone.,5,1
LUKE,"Uh, I don't have a cell phone.",5,1
LORELAI,What happened to the phone Nicole gave you?,5,1
LUKE,"She got it back in the divorce. Actually, I threw it in the lake after the divorce.",5,1
LUKE,"Jeez, what the hell is going on over there?",5,1
LORELAI,What's going on over there?,5,1
LUKE,Hold on!,5,1
LORELAI,"You hold on, too.",5,1
LORELAI,I'm good.,5,1
LUKE,"I'm good, too.",5,1
LORELAI,Good!,5,1
LUKE,So...you wanted to talk.,5,1
LORELAI,"Yeah. I just realized that, uh, you know, when I got back last night, I was, um, a little distracted. Uh,eh.",5,1
LUKE,"Hey, no big deal.",5,1
LORELAI,"Uh, no, no, it really was a big deal. I just, um --",5,1
LUKE,"Seriously, you don't need to --",5,1
LORELAI,"We kissed. You and me, we kissed?",5,1
LUKE,I rememb er.,5,1
LORELAI,And it was...unexpected.,5,1
LUKE,"Lorelai, relax. I'm fine if you want to just forget it ever happened, really.",5,1
LORELAI,"No, I don't want to forget it ever happened. It was a great kiss.",5,1
LUKE,Yeah?,5,1
LORELAI,"If one of us had been a frog, it would have had some seriously impressive consequences.",5,1
LUKE,Okay.,5,1
LORELAI,"So, what do you think?",5,1
LUKE,I think I'm really relieved you feel that way.,5,1
LORELAI,So you concur?,5,1
LUKE,"Dear God, yes.",5,1
LORELAI,"Good. So, then, I guess we'll discuss this later.",5,1
LUKE,Tonight?,5,1
LORELAI,Tonight.,5,1
LUKE,Okay. Thanks for the call.,5,1
LORELAI,"Well, my pleasure.",5,1
LORELAI,"You better finish that whole thing, Pau-Pau.",5,1
RORY,"Hi, it's me. We need to meet .",5,1
RORY,Come in .,5,1
DEAN,Hey.,5,1
RORY,Hey.,5,1
DEAN,I'm glad you called.,5,1
RORY,Me too.,5,1
DEAN,Everything okay at home?,5,1
RORY,Yeah. Everything's okay.,5,1
DEAN,Good. Did I ever tell you I like your hair?,5,1
RORY,My hair?,5,1
DEAN,Your shorter hair.,5,1
RORY,It's grown out a little.,5,1
DEAN,I like it.,5,1
RORY,"I like it, too.",5,1
DEAN,"So, um, you wanted to talk?",5,1
RORY,"Yeah, talk. words... wow.",5,1
LANE,You what?,5,1
RORY,"I slept with Dean in my room last night, in my bed.",5,1
LANE,"Oh, my God!",5,1
RORY,"I know. Who would have even thought that Dean could fit in my bed. I mean, it's so small, and he's not small. He's tall, not small. Great, I'm rhyming.",5,1
LANE,I didn't know you were even back together.,5,1
RORY,"Well, we're not. I mean, I guess we are now, but -- I'm out of breath.",5,1
LANE,Sit down.,5,1
RORY,My mom caught us.,5,1
LANE,"Oh, my God.",5,1
RORY,"I mean, she didn't catch us. We were done, but she -- we were still horizontal, and then she saw Dean come out of my room, and she just said all these things.",5,1
LANE,"Oh, my God! Oh, my God! Oh, my God!",5,1
RORY,What?,5,1
LANE,"I'm just picturing it in my head, and -- oh, my God!",5,1
ZACH,Lane!,5,1
LANE,I'm busy!,5,1
ZACH,"Okay, but hello?",5,1
LANE,"Go, talk, please.",5,1
RORY,"So, we had a fight.",5,1
LANE,You and Dean.,5,1
RORY,"No, me an d my mom.",5,1
LANE,Right.,5,1
RORY,"So then I called him today, and I told him that we need to talk because there were questions and clarifications and many tiny details that were totally ignored, because he's, like, perfect, you know? But I had it all planned out, every word. I was going to be practical, and I was going to be adult, and then --",5,1
LANE,Yeah?,5,1
RORY,And then he walked in.,5,1
LANE,Yeah?,5,1
RORY,"And he kissed me, and I couldn't think. It was just -- and then we --",5,1
LANE,Again?,5,1
RORY,"Well, once you get the hang of it, it's pretty easy to duplicate.",5,1
LANE,Where?,5,1
RORY,What?,5,1
LANE,Where did you do it the second time?,5,1
RORY,At Miss Patty's.,5,1
LANE,You did it at Miss Patty's?,5,1
RORY,Yeah.,5,1
LANE,She would be so proud.,5,1
RORY,I had it all planned out. I was going to get everything straightened out. Why did he have to walk in like that?,5,1
ZACH,Lane!,5,1
LANE,In a minute!,5,1
RORY,Lane.,5,1
LANE,"Okay, I'm sorry, I just have to ask you. How was it?",5,1
RORY,Why are you whispering?,5,1
LANE,"Because I just think that no matter where she is, my mom can hear this conversation.",5,1
RORY,It was a little scary.,5,1
LANE,Was he nice to you?,5,1
RORY,"Yeah. It was -- I mean, he loves me, and I love him.",5,1
LANE,"Oh, my God.",5,1
GIL,Lane! Come on!,5,1
LANE,What?!,5,1
GIL,We were supposed to practice a half an hour ago.,5,1
ZACH,Brian's been yammer ing on about germs and spores for 20 minutes. I'm completely freaked out to touch a microphone ever again.,5,1
BRIAN,"I'm just saying, at the end of the night, who cleans them?",5,1
ZACH,"Shut up, Brian.",5,1
GIL,"Look, man, I only have the babysitter till6:00, then it's my turn to drive them to Gymboree.",5,1
ZACH,"Dude, you promised you wouldn't talk about the parental issue during band practice.",5,1
GIL,"We're not having band practice, and it's not a parental issue. It's being part of the cycle of life, and that, my friend, is pure rock 'n' roll.",5,1
ZACH,"Go join ""The Polyphonic Spree,"" you fruitcake.",5,1
BRIAN,I'm just saying my bass strap has a smell.,5,1
LANE,"Hey! Shut up, all of you! Now, that is my friend, and she is here in desperate need of some girl talk, and in case you haven't noticed, I am a girl, and this, right here, is what it's like to have a girl in the band, so all of you -- deal! Sorry.",5,1
RORY,"Lane, I think I did something that -- what do you think?",5,1
LANE,Of what?,5,1
RORY,Of what I did. I need some perspective.,5,1
LANE,From me?,5,1
RORY,Yes.,5,1
LANE,You need some perspective on sex from me?,5,1
RORY,I need some perspective on sex with Dean from you.,5,1
